Emitter,File Name,FileID,Addressee,Context,Emitter pre-vocalization action,Addressee pre-vocalization action,Emitter post-vocalization action,Addressee post-vocalization action,Start sample,End sample
216,69809.wav,233219,221,11,2,3,3,3,1,590672
215,71889.wav,237330,220,12,2,2,3,3,1,328528
216,46690.wav,173649,231,12,2,2,3,3,1,467792
230,85411.wav,268012,221,12,2,2,3,3,1,475984
215,45609.wav,170616,220,12,2,2,3,3,1,336720
216,90083.wav,288875,221,11,2,2,3,3,1,328528
215,42092.wav,161803,207,9,2,2,3,3,1,353104
216,44892.wav,169129,0,12,2,0,2,0,529629,967504
216,26851.wav,99979,233,11,2,1,2,3,1,426832
230,58472.wav,207676,207,12,2,2,3,3,1,328528
215,44550.wav,168640,220,12,2,2,3,3,1,328528
215,90491.wav,290484,207,12,2,2,3,3,1,443216
231,39348.wav,154063,208,12,2,2,3,3,1,443216
211,80668.wav,257483,208,12,2,2,3,3,1,910160
230,80263.wav,256729,220,12,2,2,3,3,1,500560
215,64717.wav,223300,207,12,2,3,3,4,1,320336
111,10978.wav,46688,0,11,2,2,4,3,1,787280
211,27735.wav,106925,0,6,1,0,2,0,1,426832
215,40055.wav,156369,207,11,2,2,3,3,1,344912
231,75798.wav,246139,208,12,2,2,3,3,1,377680
228,25658.wav,96174,233,11,2,2,3,3,1,992080
215,41079.wav,159177,207,12,2,2,3,3,1,385872
226,19927.wav,74852,233,11,2,2,3,3,1,607056
216,60267.wav,211001,221,12,2,2,3,3,1,549712
230,57244.wav,201275,220,12,2,2,3,3,1,369488
228,19153.wav,72914,233,11,2,2,3,3,1,656208
228,18842.wav,72404,233,11,2,3,3,2,1,852816
226,28828.wav,110385,213,3,2,2,3,3,1,500560
216,49381.wav,181727,221,12,2,2,3,3,1,67360
215,65985.wav,226375,207,9,2,2,3,3,1,238468
211,75104.wav,244966,231,12,2,2,3,3,1,418640
216,26743.wav,99721,0,6,3,0,3,0,1,336720
230,80665.wav,257477,207,12,2,2,3,3,1,336720
216,39567.wav,154887,231,11,2,2,3,3,1,328528
215,29974.wav,117528,217,6,0,0,0,0,1,328528
220,77372.wav,248768,207,12,2,2,3,3,1,598864
228,27198.wav,102727,233,3,2,3,2,4,1,631632
215,41195.wav,159381,207,12,2,2,3,3,1,377680
220,57169.wav,201148,210,11,2,2,3,3,1,328528
215,44778.wav,168985,207,9,2,2,3,3,1,402256
215,87135.wav,271111,208,12,2,2,3,3,1,385872
231,64845.wav,223553,208,12,2,2,3,3,1,467792
226,27089.wav,101906,233,11,2,2,3,3,1,975696
230,70194.wav,233939,215,12,2,2,3,3,1,312862
215,39620.wav,155032,207,12,2,2,3,3,1,525136
211,64323.wav,221803,208,12,2,2,3,3,1,385872
231,79592.wav,253346,208,12,2,2,3,3,1,353104
111,16145.wav,64469,233,11,2,1,2,3,1,1033040
231,81049.wav,258477,208,11,2,2,3,3,1,385872
226,18992.wav,72637,233,12,2,2,3,3,1,344912
210,52544.wav,191057,215,2,2,2,3,3,1,328528
231,60268.wav,211002,208,12,2,2,3,3,1,344912
215,54493.wav,196303,220,12,2,2,3,3,1,336720
111,8485.wav,37625,0,11,2,2,3,3,1,582480
231,71109.wav,235645,208,12,2,2,3,3,1,418640
215,83833.wav,264612,208,12,2,2,3,3,1,426832
215,82910.wav,262988,208,11,2,2,3,3,1,94846
215,42150.wav,161888,207,9,2,2,3,3,251817,650532
215,38686.wav,150382,207,12,2,2,3,3,1,738128
215,74039.wav,243168,220,12,2,2,3,3,1,344912
231,66159.wav,226754,208,12,2,2,3,3,1,377680
211,81839.wav,261124,208,12,2,2,3,3,1,328528
228,17400.wav,68565,233,11,2,3,3,3,1,341346
230,66332.wav,227010,207,12,2,2,3,3,1,377680
111,16161.wav,64520,120,11,2,1,3,3,1,320336
215,79111.wav,252608,207,12,2,2,3,3,1,320336
228,26737.wav,99676,233,12,2,2,3,4,1,557904
210,44616.wav,168744,207,12,2,2,3,3,1,377680
210,84878.wav,266765,221,12,2,2,3,3,1,328528
226,29836.wav,117076,213,11,2,3,3,4,1,353104
220,69690.wav,233047,207,12,2,2,3,3,1,320336
220,38264.wav,148733,0,6,2,0,2,0,1,607056
220,61127.wav,212548,207,2,2,2,3,3,1,467792
215,87512.wav,271665,208,11,2,1,2,4,1,336720
230,80020.wav,255821,220,12,2,2,3,3,1,336720
228,21517.wav,83080,233,11,2,2,3,3,1,1229648
215,90610.wav,290877,221,9,2,2,3,3,1,1909584
211,50164.wav,183989,216,12,2,2,3,3,1,525136
215,52444.wav,190850,207,12,2,2,3,3,1,680784
231,77971.wav,249950,208,3,2,2,3,3,1,328528
230,68123.wav,230412,215,2,2,2,3,3,1,328528
226,18813.wav,72299,233,3,2,2,3,2,1,713552
231,38538.wav,149945,221,12,2,2,3,3,1,336720
215,54381.wav,196128,220,12,2,2,3,3,172032,664400
210,57304.wav,201365,207,12,2,2,3,3,1,336720
215,43814.wav,167376,220,12,2,2,3,3,1,369488
215,80662.wav,257473,207,12,2,2,3,3,1,336720
215,51337.wav,186914,207,12,2,2,3,3,1,344912
231,53805.wav,195072,208,10,1,2,2,3,1,557904
230,66198.wav,226813,207,2,2,2,3,3,1,484176
215,88274.wav,273007,231,11,2,2,3,3,127135,812352
220,71446.wav,236320,207,12,2,2,3,3,1,418640
215,69569.wav,232900,207,12,2,2,3,3,1,328528
216,64690.wav,223249,221,11,2,3,3,3,1,328528
220,71414.wav,236221,207,12,2,2,3,3,1,328528
211,77718.wav,249474,208,12,2,2,3,3,1,549712
231,36441.wav,140236,201,11,2,2,4,3,1,910160
231,71124.wav,235678,208,12,2,2,3,3,1,549712
220,68042.wav,230289,210,12,2,2,3,3,1,320336
211,67064.wav,228364,221,12,2,2,3,3,1,320336
216,57480.wav,201679,208,12,2,2,3,3,1,328528
226,27633.wav,106579,233,11,2,2,3,3,488257,697756
215,41232.wav,159439,207,12,2,2,3,3,1,344912
230,38060.wav,147258,0,6,2,0,3,0,1,779088
211,27349.wav,103898,205,6,1,2,2,3,1,353104
215,56704.wav,200372,207,12,2,2,3,3,1,394064
230,68713.wav,231559,207,12,2,2,3,3,47851,410448
216,76583.wav,247180,231,12,2,2,3,3,1,328528
226,23858.wav,89744,233,11,3,2,3,3,1,305739
215,52149.wav,190031,207,11,2,2,3,3,1,328528
211,48814.wav,179670,221,12,2,2,3,3,1,320336
220,61241.wav,212746,207,2,2,2,3,3,1,328528
230,71823.wav,237185,207,12,2,2,3,3,1,639824
215,52215.wav,190151,220,11,2,2,3,3,1,328528
211,28592.wav,109697,0,6,2,0,2,0,1,344912
231,75582.wav,245809,208,12,2,2,3,3,1,492368
210,73687.wav,242505,207,12,2,2,3,3,1,402256
216,57396.wav,201556,211,12,2,2,3,3,146309,598864
230,83077.wav,263278,216,12,2,2,3,3,1,320336
230,79709.wav,253683,207,11,2,2,3,3,1,2253648
210,85320.wav,267850,207,12,2,2,3,3,1,533328
216,77474.wav,248969,0,12,2,2,3,3,1,697168
216,86674.wav,270229,221,12,2,2,3,3,1,320336
216,46689.wav,173648,231,12,2,2,3,3,426912,1286992
230,44116.wav,167888,207,2,2,2,3,3,1,328528
215,85406.wav,268002,211,12,2,2,3,3,1,566096
220,80266.wav,256732,207,12,2,2,3,3,1,328528
226,27096.wav,101921,233,11,2,3,3,4,1,385872
216,82252.wav,261814,221,12,2,2,3,3,1,328528
230,58913.wav,208482,207,12,2,2,3,3,1,336720
211,63046.wav,216754,208,12,2,2,3,3,1,328528
231,39922.wav,155982,211,11,2,2,3,3,1,361296
215,64772.wav,223420,207,12,2,2,3,3,1,328528
215,83032.wav,263216,220,12,2,2,3,3,1,385872
211,72417.wav,238454,208,12,2,2,3,3,1,402256
220,26717.wav,99575,224,6,0,0,0,0,1,566096
226,20026.wav,75111,233,12,2,2,3,3,1,385872
215,40321.wav,157194,230,11,2,2,3,3,1,328528
111,37771.wav,146237,233,3,2,2,3,3,1,385872
230,76755.wav,247493,207,12,2,2,3,3,1,344912
215,43541.wav,166925,230,12,2,2,3,3,1,377680
215,73866.wav,242927,207,12,2,2,3,3,127803,820048
211,61215.wav,212705,231,12,2,2,3,3,245273,647738
220,76169.wav,246602,207,12,2,2,3,3,1,451408
111,25786.wav,96572,213,11,2,2,2,3,1,336720
226,17713.wav,69498,228,11,2,2,3,3,1,459600
215,70136.wav,233839,207,12,2,2,3,3,1,336720
111,8580.wav,38229,0,11,2,2,3,3,1,328528
210,58853.wav,208398,207,12,2,2,3,3,184273,467792
230,71220.wav,235820,207,12,2,2,3,3,1,94190
210,83008.wav,263189,221,11,2,2,3,3,1,803664
111,33257.wav,130201,213,11,2,2,3,3,1,328528
215,65549.wav,225750,207,7,2,2,3,3,1,361296
216,80279.wav,256748,231,12,2,2,3,3,1,328528
210,82728.wav,262697,221,12,2,2,3,3,1,344912
231,64515.wav,222959,208,12,2,2,3,3,1,484176
230,73661.wav,242466,215,12,2,2,3,3,1,541520
226,28143.wav,108438,233,11,2,1,4,2,1,402256
215,50716.wav,185596,220,12,2,2,3,3,1,336720
211,90851.wav,292158,208,12,2,2,3,3,1,1336144
211,86160.wav,269371,208,12,2,2,3,3,1,336720
210,72962.wav,240828,215,3,1,2,3,3,1,320336
230,66907.wav,228057,220,11,0,2,4,3,1,320336
215,59363.wav,209212,207,12,2,2,3,3,1,320336
216,23824.wav,89637,0,6,1,0,2,0,1,344912
215,56269.wav,199616,207,12,2,2,3,3,1,459600
220,79712.wav,253688,207,11,2,2,3,3,1,336720
210,51056.wav,186242,207,12,2,2,3,3,1,336720
220,80421.wav,256959,207,10,2,2,3,3,1,648016
216,69383.wav,232543,208,11,2,2,3,4,1,394064
215,67573.wav,229179,207,12,2,2,3,3,1,607056
230,78580.wav,251627,207,12,2,2,3,3,1,361296
230,77330.wav,248531,220,12,2,2,3,3,1,459600
230,75812.wav,246157,207,12,2,2,3,3,1,320336
226,20427.wav,76683,228,12,2,2,3,3,1,475984
230,67560.wav,229165,207,12,2,2,3,3,1,328528
228,12780.wav,56017,233,11,2,2,3,3,245183,1164112
215,67893.wav,230005,207,12,2,2,3,3,1,320336
226,16190.wav,64566,233,11,2,2,4,3,1,746320
215,80472.wav,257032,207,12,2,2,3,3,1,443216
231,48350.wav,178351,208,10,2,2,3,2,1,385872
230,77441.wav,248902,207,12,2,2,3,3,1,951120
211,68702.wav,231538,221,12,2,2,3,3,1,320336
215,81806.wav,261080,208,12,2,2,3,3,1,426832
211,86971.wav,270874,215,12,2,2,3,3,1,328528
111,7991.wav,35866,0,11,3,2,4,3,1,336720
226,25932.wav,97076,233,11,2,2,3,4,1,623440
210,71322.wav,236018,207,12,2,2,3,3,1,418640
228,37702.wav,146030,233,0,2,1,3,3,1,328528
215,57240.wav,201270,220,12,2,2,3,3,1,320336
231,40159.wav,156603,221,12,2,2,4,3,1,328528
211,70777.wav,235029,221,12,2,2,3,3,1,320336
210,85140.wav,267309,221,4,2,2,3,3,1,607056
216,75957.wav,246336,231,11,2,2,3,3,1,369488
230,73650.wav,242450,215,12,2,2,3,3,1,320336
228,36484.wav,140370,233,11,2,2,2,3,351689,538146
216,79424.wav,253137,208,12,2,2,3,3,1,344912
226,30200.wav,117956,233,11,2,3,3,3,1,492368
220,66789.wav,227835,207,12,2,2,3,3,1,328528
111,9014.wav,39911,0,6,3,2,4,4,1,328528
231,47167.wav,175164,208,12,2,2,3,3,1,204654
111,24588.wav,92056,228,11,2,3,2,4,1,328528
215,80854.wav,257982,207,12,2,2,3,3,1,607056
230,87613.wav,271865,207,12,2,2,3,3,1,336720
111,33756.wav,131228,213,11,2,2,3,3,1,443216
215,73353.wav,241673,230,12,2,2,3,3,1,426832
230,78982.wav,252409,207,2,2,2,3,3,1,598864
228,19572.wav,73630,233,11,3,2,4,3,1,590672
215,51771.wav,188611,207,12,2,2,3,3,1,738128
215,87776.wav,272053,220,12,2,2,3,3,1,344912
215,45228.wav,169865,207,12,2,2,3,3,163852,646337
220,65075.wav,224218,230,12,2,2,3,3,1,250396
215,60754.wav,211831,207,2,2,2,3,3,1,451408
230,58452.wav,207648,207,12,2,2,3,3,1,336720
220,46143.wav,172214,207,3,2,1,2,3,1,377680
215,69016.wav,232056,220,9,2,2,3,3,1,672592
230,50840.wav,185817,207,12,2,2,3,3,1,328528
111,7618.wav,34792,0,11,2,2,3,3,1,377680
210,78231.wav,250742,207,12,2,2,3,3,1,377680
230,73161.wav,241243,215,12,2,2,3,3,1,443216
231,64512.wav,222955,208,12,2,2,3,3,1,435024
226,13576.wav,57471,228,12,2,2,3,3,1,394064
231,56695.wav,200360,208,12,2,2,3,3,1,336720
211,53843.wav,195132,208,12,2,2,3,3,170653,232652
228,12702.wav,55458,233,11,2,1,3,3,1,516944
215,43693.wav,167227,207,7,2,2,3,3,1,328528
231,73377.wav,241705,208,12,2,2,3,3,1,672592
211,83850.wav,264635,231,12,2,2,3,3,1,328528
230,37600.wav,145629,232,6,0,0,0,0,1,344912
215,77708.wav,249453,207,9,2,2,3,3,1,443216
111,8060.wav,36085,0,11,2,2,3,3,1,344912
210,67086.wav,228386,207,2,2,2,3,3,1,369488
216,61580.wav,213454,221,12,2,2,3,3,1,361296
220,41884.wav,160535,230,12,2,2,3,3,1,328528
111,30205.wav,117970,233,11,1,2,2,3,1,787280
216,29430.wav,112600,233,11,2,2,4,4,1,435024
216,31138.wav,123227,0,6,2,0,4,0,1,336720
231,77295.wav,248460,208,12,2,2,3,3,1,467792
215,73402.wav,241751,210,12,2,2,3,3,1,328528
220,63619.wav,219936,215,12,2,2,3,3,1,328528
226,23844.wav,89708,233,11,1,2,3,3,1,566096
230,69663.wav,233010,207,11,2,2,3,3,1,533328
216,48466.wav,178676,208,12,2,2,3,3,1,541520
220,80923.wav,258122,207,4,2,2,3,3,1,533328
220,76644.wav,247273,207,12,2,2,3,3,1,320336
211,77858.wav,249732,0,12,2,2,3,3,1,320336
230,84994.wav,267086,221,12,2,2,3,3,1,320336
231,49940.wav,183377,208,11,0,0,2,3,1,410448
228,12711.wav,55733,233,11,2,3,3,4,1,639824
230,64753.wav,223391,207,12,2,2,3,3,1,279832
226,32017.wav,125586,233,11,2,2,2,3,1,697168
215,84934.wav,266882,208,11,2,1,2,3,1,344912
211,76631.wav,247256,208,12,2,2,3,3,1,328528
211,58980.wav,208594,208,12,2,2,3,3,1,336720
230,71530.wav,236468,215,2,2,2,3,3,1,320336
215,53049.wav,192339,207,12,2,2,3,3,1,484176
230,80847.wav,257970,207,12,2,2,3,3,1,467792
220,72300.wav,238289,207,12,2,2,3,3,1,328528
215,87365.wav,271411,208,12,2,2,3,3,1,361296
211,75759.wav,246102,231,12,2,2,3,3,1,320336
230,68601.wav,231409,220,12,2,2,3,3,1,385872
211,90099.wav,288928,207,12,2,2,3,3,1,328528
216,41726.wav,160320,221,12,2,2,3,3,1,385872
226,30155.wav,117856,233,11,2,2,3,3,1,111823
215,71803.wav,237126,207,12,2,2,3,3,1,385872
220,66002.wav,226396,207,12,2,2,3,3,1,779088
211,64272.wav,221718,208,12,2,2,3,3,1,328528
220,58294.wav,207328,207,12,2,2,3,3,1,320336
215,53852.wav,195147,207,12,2,2,3,3,1,574288
215,75815.wav,246160,220,12,2,2,3,3,1,353104
226,27593.wav,106513,233,11,2,2,3,3,1,459600
211,43266.wav,166436,208,12,2,2,2,3,1,557904
231,54002.wav,195449,208,12,2,1,3,2,1,549712
111,24825.wav,93427,233,11,1,1,2,3,1,328528
215,73420.wav,241781,207,12,2,2,3,3,1,631632
215,43480.wav,166803,207,12,2,2,3,3,1,369488
215,65423.wav,225546,207,0,0,2,0,3,1,344912
215,88050.wav,272594,208,9,2,2,3,3,1,320336
226,27002.wav,100687,233,12,2,2,3,3,1,451408
230,67067.wav,228367,207,2,2,2,4,3,1,320336
215,60399.wav,211168,207,12,2,2,3,3,1,97699
215,43035.wav,165491,220,12,2,2,3,3,1,344912
210,79758.wav,253988,207,5,2,2,3,3,1,328528
215,65400.wav,225510,207,12,2,2,3,3,1,328528
220,41494.wav,159947,215,12,2,2,3,3,1,322249
226,26609.wav,98987,233,11,2,2,3,0,1,516944
220,67583.wav,229189,207,12,2,2,3,3,1,320336
211,84641.wav,266028,208,12,2,2,3,3,1,410448
228,18338.wav,70823,233,11,2,3,3,3,1,787280
230,78654.wav,251862,207,11,2,2,3,3,1,336720
216,41631.wav,160162,231,12,2,2,3,3,1,385872
215,71767.wav,237065,207,9,2,2,3,3,1,328528
216,22428.wav,85469,228,11,1,0,2,0,279325,770896
211,30337.wav,118615,0,6,2,0,2,0,1,598864
215,52165.wav,190055,220,12,2,2,3,3,1,320336
215,44302.wav,168205,210,12,2,2,3,3,1,344912
211,28587.wav,109684,0,6,2,0,3,0,1,353104
