FileID,Emitter,Addressee,Context,Emitter pre-vocalization action,Addressee pre-vocalization action,Emitter post-vocalization action,Addressee post-vocalization action,Start sample,End sample,File Name
7,118,0,9,2,2,3,3,1,336720,0.wav
11,0,0,11,0,0,0,0,1,787280,1.wav
12,118,0,12,2,2,3,3,1,566096,2.wav
15,0,0,12,0,0,0,0,1,402256,3.wav
20,0,0,12,0,0,0,0,1,394064,4.wav
24,0,0,12,0,0,0,0,1,369488,5.wav
29,0,0,1,0,0,0,0,1,377680,6.wav
30,0,0,1,0,0,0,0,298537,607056,7.wav
33,0,0,12,0,0,0,0,1,443216,8.wav
37,-118,0,12,0,0,0,0,254691,410448,9.wav
55,0,0,12,0,0,0,0,1,336720,10.wav
64,-101,0,11,1,2,3,3,1,533328,11.wav
74,0,0,12,0,0,0,0,1,328528,12.wav
77,0,0,11,0,0,0,0,1,320336,13.wav
79,0,0,12,0,0,0,0,1,566096,14.wav
85,0,0,12,0,0,0,0,1,1450832,15.wav
89,0,0,12,0,0,0,0,1,1114960,16.wav
91,0,0,12,0,0,0,0,1,607056,17.wav
93,0,0,12,0,0,0,0,113028,697168,18.wav
96,0,0,12,0,0,0,0,1,631632,19.wav
98,0,0,12,0,0,0,0,1,623440,20.wav
120,0,0,12,0,0,0,0,1,328528,21.wav
122,0,0,12,0,0,0,0,1,828240,22.wav
133,0,0,12,0,0,0,0,208415,484176,23.wav
137,0,0,12,0,0,0,0,93813,385872,24.wav
142,0,0,12,0,0,0,0,1,361296,25.wav
153,110,0,3,2,2,3,2,1,344912,26.wav
155,0,0,12,0,0,0,0,1,820048,27.wav
157,0,0,12,0,0,0,0,1,385872,28.wav
169,0,0,12,0,0,0,0,1,344912,29.wav
175,0,0,12,0,0,0,0,1,336720,30.wav
182,0,0,12,0,0,0,0,1,336720,31.wav
185,0,0,12,0,0,0,0,1,336720,32.wav
189,0,0,4,0,0,0,0,1,475984,33.wav
190,0,0,12,0,0,0,0,1,410448,34.wav
193,0,0,12,0,0,0,0,192608,516944,35.wav
197,0,0,12,0,0,0,0,1,549712,36.wav
202,0,0,12,0,0,0,0,1,435024,37.wav
204,0,0,12,0,0,0,0,76051,361296,38.wav
206,0,0,12,0,0,0,0,1,705360,39.wav
213,0,0,12,0,0,0,0,1,582480,40.wav
221,0,0,12,0,0,0,0,1,492368,41.wav
230,0,0,6,0,0,0,0,1,336720,42.wav
231,0,0,12,0,0,0,0,1,320336,43.wav
232,0,0,12,0,0,0,0,263215,828240,44.wav
236,0,0,12,0,0,0,0,1,344912,45.wav
238,0,0,12,0,0,0,0,160110,402256,46.wav
240,0,0,12,0,0,0,0,1,557904,47.wav
244,0,0,12,0,0,0,0,1,803664,48.wav
248,0,0,12,0,0,0,0,1,377680,49.wav
249,0,0,12,0,0,0,0,1,344912,50.wav
254,0,0,12,0,0,0,0,1,320336,51.wav
255,0,0,12,0,0,0,0,1,328528,52.wav
258,0,0,12,0,0,0,0,1,787280,53.wav
259,0,0,12,0,0,0,0,1,615248,54.wav
261,0,0,12,0,0,0,0,1,500560,55.wav
263,0,0,12,0,0,0,0,1,418640,56.wav
264,0,0,12,0,0,0,0,1,680784,57.wav
266,0,0,12,0,0,0,0,1,385872,58.wav
268,0,0,12,0,0,0,0,1,385872,59.wav
269,0,0,12,0,0,0,0,1,623440,60.wav
271,0,0,12,0,0,0,0,1,336720,61.wav
272,0,0,12,0,0,0,0,1,320336,62.wav
283,0,0,12,0,0,0,0,1,697168,63.wav
286,0,0,12,0,0,0,0,1,361296,64.wav
289,0,0,12,0,0,0,0,1,426832,65.wav
313,-101,0,0,3,2,4,3,1,451408,66.wav
314,-107,0,11,2,2,3,3,1,344912,67.wav
341,-110,0,11,2,2,3,3,1,410448,68.wav
342,0,0,11,0,0,0,0,1,541520,69.wav
364,0,0,11,0,0,0,0,523649,1065808,70.wav
379,-110,0,11,2,1,3,3,1,598864,71.wav
381,-110,0,11,2,3,3,3,1,525136,72.wav
395,0,0,11,2,2,3,3,1,475984,73.wav
425,0,0,11,2,2,3,3,1,402256,74.wav
429,0,0,11,2,2,3,3,1,1213264,75.wav
433,0,0,11,2,2,3,3,1,1352528,76.wav
435,0,0,11,2,2,3,3,1,426832,77.wav
465,0,0,11,0,0,0,0,1,803664,78.wav
467,0,0,11,0,0,0,0,1,648016,79.wav
469,0,0,11,0,0,0,0,1,353104,80.wav
471,0,0,11,0,0,0,0,1,443216,81.wav
487,0,0,11,0,0,0,0,1,508752,82.wav
489,0,0,11,0,0,0,0,1,369488,83.wav
491,0,0,11,0,0,0,0,1,377680,84.wav
493,0,0,11,0,0,0,0,1,467792,85.wav
